timestamps,TP9,AF7,AF8,TP10,Right AUX
1731847890.189509,36.29572906997055,153.7435472784564,31.130927231162786,164.3424237528816,133.0
1731847890.189509,14.858622523956,579.3479021359235,37.93006535060704,-238.70098462188616,133.0
1731847890.1901937,85.43427458778024,320.4084489038214,112.50367046706378,-530.5777367637493,134.0
1731847890.1901937,130.60478625260293,73.9976605232805,158.19402822572738,-917.073957784567,134.0
1731847890.204229,138.57077315822244,539.9106571031734,159.09908401500434,-1310.2889090757817,135.0
1731847890.204229,181.77409744635224,527.5353281497955,206.52101545315236,-1262.0516794472933,135.0
1731847890.2200243,237.05729859136045,123.47279703710228,260.59248901251704,-848.738505794201,136.0
1731847890.2200243,220.56433978676796,401.05565154831856,235.51271990966052,-525.9701800183393,136.0
1731847890.220282,216.04280074033886,670.9642313504592,228.11893769726157,-117.43472855864093,137.0
1731847890.220282,257.32007655128837,227.72624820191413,267.5337433302775,285.15241202153265,137.0
1731847890.2342367,223.19348945561796,242.42031512781978,233.27999963611364,246.1901342831552,138.0
1731847890.2342367,180.07618286646903,653.7606915542856,188.55453606601804,-163.203624216374,138.0
1731847890.2495632,192.07004202436656,372.4715961869806,210.19359720963985,-491.0694336318411,139.0
1731847890.2495632,182.24158494081348,107.25285092927516,200.66807202249765,-893.2881940663792,139.0
1731847890.2503476,119.97599057853222,526.6340122604743,137.78539416752756,-1330.8172199325636,140.0
1731847890.2503476,121.77488245721906,493.84630934894085,142.00026141759008,-1303.7927028527483,140.0
1731847890.263859,122.48546344880015,67.65853009838611,136.15105788689107,-914.179275218863,141.0
1731847890.263859,79.80946505442262,331.31773707456887,90.54671782720834,-614.7853241660632,141.0
1731847890.2795727,65.53800682350993,601.4768901737407,64.09440544061363,-210.3076641582884,142.0
1731847890.2795727,83.60546350944787,124.64338572323322,81.60087713319808,172.16629446018487,142.0
1731847890.2805858,69.38262397795916,154.57754496857524,67.92406299524009,149.57729872781783,143.0
1731847890.2805858,32.50721041485667,568.0945431692526,43.13974598888308,-264.2220619195141,143.0
1731847890.293808,59.24001529812813,282.71025735046715,61.05012687668204,-579.9032772793435,144.0
1731847890.293808,45.686617858707905,23.624948020093143,56.66696412861347,-985.6674628718756,144.0
1731847890.3099906,2.81988456659019,458.2162824710831,10.913028070703149,-1409.6243917988613,145.0
1731847890.3099906,6.993612917140126,427.5266634346917,13.089649844914675,-1374.0055846208706,145.0
1731847890.310236,26.90484028123319,2.5057329703122377,33.240230806171894,-960.6475321683101,146.0
1731847890.310236,-8.785024995915592,263.85368177387863,-2.255159673281014,-656.3879712731577,146.0
1731847890.3241904,-25.524817197583616,539.2973135104403,-13.871288935653865,-237.76974953291938,147.0
1731847890.3241904,-1.5969372810795903,82.30397832486778,10.793351272121072,160.46414749883115,147.0
1731847890.3395152,-11.803124260157347,114.25768354628235,-6.223193526268005,133.93703711312264,148.0
1731847890.3395152,-39.287649034522474,535.3891180567443,-38.479830644093454,-266.42860289337113,148.0
1731847890.3402088,-16.631335102953017,257.1630007531494,-10.011712181381881,-582.6446239468642,149.0
1731847890.3402088,-17.192320096306503,-13.729172737337649,-9.921954582445323,-997.6650619297288,149.0
1731847890.3538945,-41.254836411215365,437.77772921323776,-46.99558284319937,-1402.8327334793285,150.0
1731847890.3538945,-25.214405501261353,408.744885857217,-35.87686027493328,-1376.5038377912715,150.0
1731847890.3700047,-26.377514387480915,-18.594782579690218,-8.104363203980029,-979.2834536475129,151.0
1731847890.3700047,-56.124678635038435,249.49620584398508,-40.68263171799481,-681.2321266788058,151.0
1731847890.3702092,-53.708703263662755,518.7877021534368,-41.83826080430299,-272.6966752191074,152.0
1731847890.3702092,-22.17386683728546,61.360538573004305,-9.22259329073131,130.72072315122932,152.0
1731847890.384245,-44.35895337443799,90.06801063288003,-37.06988836079836,100.80900330562145,153.0
1731847890.384245,-69.73417457379401,514.7523501012474,-67.17608300410211,-299.7885104981251,153.0
1731847890.3999949,-39.13805303629488,239.5929507613182,-35.36823388095945,-605.9629001705907,154.0
1731847890.3999949,-38.63316654227674,-19.443739869631827,-33.161692907102406,-1002.9345809672959,154.0
1731847890.400211,-61.48769517149776,426.99933754093945,-53.18137736991048,-1411.4232836775482,155.0
1731847890.400211,-37.89640625100583,401.99436643719673,-35.48791067954153,-1376.5786357903853,155.0
1731847890.413803,-19.28666407149285,-23.497791421599686,-16.0815698094666,-982.4922878094949,156.0
1731847890.413803,-58.0282877124846,253.66993419453502,-53.94805686082691,-672.6827153800987,156.0
1731847890.429501,-57.807633615098894,518.9634774513543,-55.23832234553993,-266.5520195919089,157.0
1731847890.429501,-10.84944977145642,71.70884175039828,-4.192427850328386,148.75078083761036,157.0
1731847890.4302368,-37.387779857032,85.86436308268458,-37.95250475034118,116.55398211907595,158.0
1731847890.4302368,-61.86542506702244,514.3521808059886,-63.55585984699428,-280.75615962361917,158.0
1731847890.4438016,-38.879999939352274,239.15912236645818,-40.35726042184979,-582.2070556520484,159.0
1731847890.4438016,-37.69071175344288,-22.850788729265332,-34.852127687074244,-980.1810296368785,159.0
1731847890.4599774,-76.36127729527652,416.18728676903993,-69.25920727942139,-1405.129032052122,160.0
1731847890.4599774,-47.579007236287,401.35858344472945,-44.25797607563436,-1368.8968812813982,160.0
1731847890.46027,-24.750657906755805,-22.51045783329755,-22.09906883817166,-985.8694174694829,161.0
1731847890.46027,-48.33072712738067,232.44974184595048,-49.60229311231524,-698.5403836737387,161.0
1731847890.4739513,-59.47936889529228,497.7582447025925,-56.173297334462404,-301.95765247242525,162.0
1731847890.4739513,-34.56041549053043,43.610973383300006,-34.19016539491713,96.99430535081774,162.0
1731847890.4895272,-58.23398221004754,57.1381915230304,-67.42665630113333,54.580099953338504,163.0
1731847890.4895272,-77.1503961859271,486.94993383064866,-84.31230460107327,-342.86467818776146,163.0
1731847890.49038,-37.51867635548115,224.74554793722928,-36.6846786653623,-636.2860090113245,164.0
1731847890.49038,-31.02994993235916,-35.52156977914274,-25.132127702236176,-1026.911079583224,164.0
1731847890.5042517,-69.49482097662985,414.4931120891124,-67.50145430024713,-1436.6713482784107,165.0
1731847890.5042517,-50.911258096806705,392.13599015399814,-64.43473633658141,-1400.196104010567,165.0
1731847890.5199947,-28.50925736222416,-20.401154258288443,-34.384640192613006,-990.6938884123228,166.0
1731847890.5199947,-65.63898412231356,246.79973797593266,-61.397937572561204,-688.405254793819,166.0
1731847890.5202065,-69.62197757512331,523.2942816000432,-70.46345506515354,-277.06487836735323,167.0
1731847890.5202065,-27.33866867609322,70.13808376900852,-27.854774869978428,132.00724873598665,167.0
1731847890.533852,-45.1705116648227,93.0075719980523,-36.9801307618618,100.47989210952073,168.0
1731847890.533852,-66.83201220817864,526.5255551617593,-59.24749509803951,-295.16973405284807,168.0
1731847890.5494635,-33.31876870524138,251.4559134207666,-27.0132973799482,-602.4885331117548,169.0
1731847890.5494635,-19.593335867859423,-10.426841076463461,-23.901700616814196,-993.0126263848506,169.0
1731847890.5501776,-62.579745958559215,433.92189235892147,-52.62787217646837,-1408.1284318165854,170.0
1731847890.5501776,-37.683231953531504,415.7235391745344,-44.516029172576964,-1367.621575396508,170.0
1731847890.5637486,-7.5059792110696435,0.6395228924229741,-8.205340502783656,-967.4803293873556,171.0
1731847890.5637486,-39.291388934478164,269.0484028123319,-31.916306221857667,-660.7000759220682,171.0
1731847890.5795057,-39.09691413678229,550.2813996803015,-34.392119992524385,-244.75588265014812,172.0
1731847890.5795057,-4.854390142485499,95.63298176694661,0.29545209649950266,153.94550187606364,172.0
1731847890.5802383,-20.345055758953094,115.58534803055227,-19.25300497189164,111.19470548257232,173.0
1731847890.5802383,-40.26376292295754,542.4986678725109,-37.193305059336126,-288.2023004353978,173.0
1731847890.593718,-11.67970756161958,266.59128854144365,-8.893482094630599,-596.1494026868604,174.0
1731847890.593718,-13.28786454256624,-1.6679953802376986,-8.209080402739346,-1000.8065778925084,174.0
1731847890.6094377,-48.65235852357,441.00526287499815,-46.864686344750226,-1419.2695937845856,175.0
1731847890.6094377,-26.818822582252324,426.44957224745303,-26.800123082473874,-1369.0988358790055,175.0
1731847890.6101484,2.576791069470346,11.806864160113037,0.6544824922457337,-965.0456545162015,176.0
1731847890.6101484,-34.25374369416386,262.2791838925332,-36.445325068198144,-679.1639620033093,176.0
1731847890.6236997,-38.464871044270694,545.8795374324545,-37.982423949986696,-255.53427432244644,177.0
1731847890.6236997,4.783332043327391,91.1525816200301,1.3875028835609555,146.53302016388625,177.0
1731847890.6394453,-10.568957274779677,114.07442844845355,-15.991812210530043,114.1679259473458,178.0
1731847890.6394453,-36.17979217134416,541.6833696821705,-41.81208150461316,-285.77136546419933,178.0
1731847890.640147,5.381716036237776,277.0293493177742,1.163108886219561,-580.2510879752226,179.0
1731847890.640147,3.653882256709039,-1.8998691774904728,-5.381716036237776,-999.6808680058457,179.0
1731847890.6538064,-27.843555170111358,441.6896645668894,-41.49419000837952,-1413.1436376571655,180.0
1731847890.6538064,-17.23719889577478,424.0822155755013,-22.764771030284464,-1371.2679778533056,180.0
1731847890.6694305,11.67596766166389,1.5744978813454509,9.312350889667869,-972.8396060238592,181.0
1731847890.6694305,-18.84909577667713,272.5788683705032,-20.771404353901744,-668.7932194261812,181.0
